id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,lokasi,alamat,longitude,latitude,bulan,jumlah_pengguna,satuan,tahun
72,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,DESEMBER,154,ORANG,2017
73,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,JANUARI,631,ORANG,2017
74,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,FEBRUARI,632,ORANG,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,MARET,560,ORANG,2017
76,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,APRIL,582,ORANG,2017
77,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,MEI,563,ORANG,2017
78,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,JUNI,510,ORANG,2017
79,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,JULI,443,ORANG,2017
80,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,AGUSTUS,495,ORANG,2017
81,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,SEPTEMBER,422,ORANG,2017
82,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,OKTOBER,457,ORANG,2017
83,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,NOVEMBER,484,ORANG,2017
84,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE,JL. DR. CIPTO NO. 3,107.599,-6.9066,DESEMBER,591,ORANG,2017
85,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,JANUARI,712,ORANG,2017
86,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,FEBRUARI,651,ORANG,2017
87,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,MARET,566,ORANG,2017
88,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,APRIL,573,ORANG,2017
89,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,MEI,620,ORANG,2017
90,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,JUNI,645,ORANG,2017
91,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,JULI,585,ORANG,2017
92,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,AGUSTUS,531,ORANG,2017
93,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,SEPTEMBER,581,ORANG,2017
94,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,OKTOBER,526,ORANG,2017
95,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,NOVEMBER,482,ORANG,2017
96,32,JAWA BARAT,3273,KOTA BANDUNG,BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",107.597,-6.9281,DESEMBER,639,ORANG,2017
97,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,JANUARI,891,ORANG,2017
98,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,FEBRUARI,69,ORANG,2017
99,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,MARET,981,ORANG,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,APRIL,1018,ORANG,2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,MEI,1086,ORANG,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,JUNI,702,ORANG,2017
103,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,JULI,731,ORANG,2017
104,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,AGUSTUS,856,ORANG,2017
105,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,SEPTEMBER,842,ORANG,2017
106,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,OKTOBER,738,ORANG,2017
107,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,NOVEMBER,524,ORANG,2017
108,32,JAWA BARAT,3273,KOTA BANDUNG,BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",107.61,-6.9114,DESEMBER,572,ORANG,2017
109,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BANDUNG KIDUL,"JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA",0.0,0.0,JANUARI,0,ORANG,2017
