id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;1529.39.00;RIBU ORANG;2015
149;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;921.598;RIBU ORANG;2015
150;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2273.58.00;RIBU ORANG;2015
151;32;JAWA BARAT;3216;KABUPATEN BEKASI;3246.01.00;RIBU ORANG;2015
152;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1629.42.00;RIBU ORANG;2015
153;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;390.483;RIBU ORANG;2015
154;32;JAWA BARAT;3271;KOTA BOGOR;1047.92;RIBU ORANG;2015
155;32;JAWA BARAT;3272;KOTA SUKABUMI;318.117;RIBU ORANG;2015
156;32;JAWA BARAT;3273;KOTA BANDUNG;2481.47.00;RIBU ORANG;2015
157;32;JAWA BARAT;3274;KOTA CIREBON;307.494;RIBU ORANG;2015
158;32;JAWA BARAT;3275;KOTA BEKASI;2714.82;RIBU ORANG;2015
159;32;JAWA BARAT;3276;KOTA DEPOK;2106.01.00;RIBU ORANG;2015
160;32;JAWA BARAT;3277;KOTA CIMAHI;586.58.00;RIBU ORANG;2015
161;32;JAWA BARAT;3278;KOTA TASIKMALAYA;657.477;RIBU ORANG;2015
162;32;JAWA BARAT;3279;KOTA BANJAR;181.425;RIBU ORANG;2015
163;32;JAWA BARAT;3201;KABUPATEN BOGOR;5587.39.00;RIBU ORANG;2016
164;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2444.62;RIBU ORANG;2016
165;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2250.98;RIBU ORANG;2016
166;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3596.62;RIBU ORANG;2016
167;32;JAWA BARAT;3205;KABUPATEN GARUT;2569.05.00;RIBU ORANG;2016
168;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1742.28.00;RIBU ORANG;2016
169;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1175.39.00;RIBU ORANG;2016
170;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1061.89;RIBU ORANG;2016
171;32;JAWA BARAT;3209;KABUPATEN CIREBON;2143.00.00;RIBU ORANG;2016
172;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1188.00.00;RIBU ORANG;2016
173;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1142.01.00;RIBU ORANG;2016
174;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1700.81;RIBU ORANG;2016
175;32;JAWA BARAT;3213;KABUPATEN SUBANG;1546.00.00;RIBU ORANG;2016
176;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;932.701;RIBU ORANG;2016
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2295.78;RIBU ORANG;2016
178;32;JAWA BARAT;3216;KABUPATEN BEKASI;3371.69;RIBU ORANG;2016
179;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1648.39.00;RIBU ORANG;2016
180;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;392.817;RIBU ORANG;2016
181;32;JAWA BARAT;3271;KOTA BOGOR;1064.69;RIBU ORANG;2016
182;32;JAWA BARAT;3272;KOTA SUKABUMI;321.097;RIBU ORANG;2016
183;32;JAWA BARAT;3273;KOTA BANDUNG;2490.62;RIBU ORANG;2016
184;32;JAWA BARAT;3274;KOTA CIREBON;310.486;RIBU ORANG;2016
185;32;JAWA BARAT;3275;KOTA BEKASI;2787.21.00;RIBU ORANG;2016
186;32;JAWA BARAT;3276;KOTA DEPOK;2179.81;RIBU ORANG;2016
187;32;JAWA BARAT;3277;KOTA CIMAHI;594.021;RIBU ORANG;2016
188;32;JAWA BARAT;3278;KOTA TASIKMALAYA;659.606;RIBU ORANG;2016
189;32;JAWA BARAT;3279;KOTA BANJAR;181.901;RIBU ORANG;2016
190;32;JAWA BARAT;3201;KABUPATEN BOGOR;5715.01.00;RIBU ORANG;2017
191;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2453.05.00;RIBU ORANG;2017
192;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2256.59.00;RIBU ORANG;2017
193;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3657.06.00;RIBU ORANG;2017
194;32;JAWA BARAT;3205;KABUPATEN GARUT;2588.84;RIBU ORANG;2017
195;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1747.32.00;RIBU ORANG;2017
196;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1181.98;RIBU ORANG;2017
197;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1068.02.00;RIBU ORANG;2017
198;32;JAWA BARAT;3209;KABUPATEN CIREBON;2159.58.00;RIBU ORANG;2017
199;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1193.72;RIBU ORANG;2017
200;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1146.44.00;RIBU ORANG;2017
201;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1709.99;RIBU ORANG;2017
202;32;JAWA BARAT;3213;KABUPATEN SUBANG;1562.51.00;RIBU ORANG;2017
203;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;943.337;RIBU ORANG;2017
204;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2316.49.00;RIBU ORANG;2017
205;32;JAWA BARAT;3216;KABUPATEN BEKASI;3500.02.00;RIBU ORANG;2017
206;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1666.51.00;RIBU ORANG;2017
207;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;395.098;RIBU ORANG;2017
